CW00053	MTR_PreAlign_Mode(0:Origin / 1: New)	H50.77
DB000049		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB00004A		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB00004B		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB00004C		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB00004D		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB00004E		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB00004F		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H90.50
DB000050		H-Scan Main,H30.22,H30.50,H40.21,H50.01,H50.12,H50.40,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H70.10,H70.20,H70.22,H90.60,H90.99,H99.01,H99.02
DB000051		H50.01,H50.12,H50.40,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H70.22
DB000052		H50.01,H50.12,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000053		H50.01,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000054		H50.01,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000055		H50.01,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000056		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000057		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000058		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000059		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00005A		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00005B		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00005C		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00005D		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00005E		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00005F		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000060		H-Scan Main,H20.02,H50.10,H50.12,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H60.50,H70.10,H70.20,H70.29,H80.14,H99.01,H99.02
DB000061		H-Scan Main,H20.02,H50.12,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H70.29
DB000062		H20.02,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H70.29
DB000063		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000064		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000065		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000066		H30.50,H50.12,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000067		H30.50,H50.12,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000068		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000069		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00006A		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00006B		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00006C		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00006D		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00006E		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00006F		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000070		H30.22,H30.50,H50.12,H50.40,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H70.10,H70.20,H70.22,H99.01,H99.02
DB000071		H30.22,H50.12,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000072		H30.22,H30.50,H50.12,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000073		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000074		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000075		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000076		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000077		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000078		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000079		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00007A		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00007B		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00007C		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00007D		H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00007E		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB00007F		H30.50,H50.41,H50.42,H50.43,H50.44,H50.45,H50.46,H50.47,H50.48,H50.49
DB000080		H50.12,H50.14,H50.43,H50.50,H50.51,H50.52,H50.53,H50.54,H50.55,H50.56,H50.57,H50.58,H50.59,H60.35,H70.10,H99.02
DB000081		H30.50,H50.12,H50.14,H50.41,H50.44,H60.35
DB000082		H30.50,H50.41
DB000083		H50.41
DB000084		H50.41
DB000085		H30.50
DB000086		H30.50
DB000087		H50.41,H80.15
DB000088		H30.50,H50.41,H50.50
DB000089		H30.50,H50.41
DB00008A		H50.42
DB00008B		H50.42
DB00008C		H30.50,H50.42
DB00008D		H50.42
DB00008E		H50.42
DB00008F		H50.42,H50.44
